,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,,,,,,,,,,,,,,,,,,,,,,,
NOS,,,,,,,,,,,,,,,,,,,,,,,
NOV,,,,,,,,,,,,,,,,,,,,,,,
MDOA,,,,,,,,,,,,,,,,,,,,,,,
NOL,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,,,,,,,,,,,,,,,,
NOD,,,,,,,,,,,,,,,,,,,,,,,
HD,,,,,,,,,,,,,,,,,,,,,,,
HV,,,,,,,,,,,,,,,,,,,,,,,
HE,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,
NOE,,,,,,,,,,,,,,,,,,,,,,,
NOC,,,,,,,,,,,,,,,,,,,,,,,
NOIter,,,,,,,,,,,,,,,,,,,,,,,
NONo,,,,,,,,,,,,,,,,,,,,,,,
NONK,,,,,,,,,,,,,,,,,,,,,,,
MDON,,,,,,,,,,,,,,,,,,,,,,,
SODON,,,,,,,,,,,,,,,,,,,,,,,
MW,,,,,,,,,,,,,,,,,,,,,,,
NONe,,,,,,,,,,,,,,,,,,,,,,,
LC,,,,,,,,,,,,,,,,,,,,,,,
FC,,,,,,,,,,,,,,,,,,,,,,,
BC,,,,,,,,,,,,,,,,,,,,,,,
